system:index,blue,cfmask,green,latitude,longitude,nbr,ndvi,nir,red,swir1,swir2,.geo,Y_Lat,X_Long,OBJECTID
1_1_LT51260521987338_0_0,328,2,485,11.59833286,104.9175363,0.5318907,0.56759906,1345,371,730,411,NA,11.59833286,104.9175363,1
1_1_LT51260521987338_0_1,1249,4,1555,11.54489019,104.9390123,0.12742008,0.21288447,2504,1625,2010,1938,NA,11.54489019,104.9390123,2
1_1_LT51260521987338_0_2,1133,4,1436,11.51802754,104.9263632,0.22041143,0.25805563,2284,1347,1721,1459,NA,11.51802754,104.9263632,3
1_1_LT51260521987338_0_3,976,4,1397,11.5031066,104.9310436,0.25097275,0.20336868,1929,1277,1313,1155,NA,11.5031066,104.9310436,4
1_1_LT51260521987338_0_4,1460,4,1826,11.64526631,104.9078894,0.26733407,0.31158864,3418,1794,2468,1976,NA,11.64526631,104.9078894,5
1_1_LT51260521988037_0_0,601,0,795,11.64526631,104.9078894,0.60860515,0.70315945,3477,606,1980,846,NA,11.64526631,104.9078894,5
1_1_LT51260521988037_0_1,701,0,916,11.59833286,104.9175363,0.3613041,0.46674344,2547,926,1893,1195,NA,11.59833286,104.9175363,1
1_1_LT51260521988037_0_2,838,1,1077,11.54489019,104.9390123,0.6462963,-0.056763925,889,996,408,191,NA,11.54489019,104.9390123,2
1_1_LT51260521988037_0_3,738,0,956,11.51802754,104.9263632,0.49386844,0.22095671,1340,855,757,454,NA,11.51802754,104.9263632,3
1_1_LT51260521988037_0_4,661,0,876,11.5031066,104.9310436,0.5819651,0.6352371,3035,677,1545,802,NA,11.5031066,104.9310436,4
1_1_LT51260521988053_0_0,418,0,664,11.64526631,104.9078894,0.58959943,0.72759676,3393,535,1887,876,NA,11.64526631,104.9078894,5
1_1_LT51260521988053_0_1,430,0,562,11.51802754,104.9263632,0.65938205,0.42432082,1101,445,556,226,NA,11.51802754,104.9263632,3
1_1_LT51260521988053_0_2,380,0,564,11.5031066,104.9310436,0.7091461,0.80954564,3943,415,1747,671,NA,11.5031066,104.9310436,4
1_1_LT51260521988053_0_3,786,0,1035,11.59833286,104.9175363,0.3868132,0.44849354,2524,961,1826,1116,NA,11.59833286,104.9175363,1
1_1_LT51260521988053_0_4,486,1,673,11.54489019,104.9390123,0.47176686,-0.24907063,404,672,203,145,NA,11.54489019,104.9390123,2
1_1_LT51260521988069_0_0,518,0,799,11.51802754,104.9263632,0.5953209,0.5685421,2523,694,1254,640,NA,11.51802754,104.9263632,3
1_1_LT51260521988069_0_1,466,0,730,11.5031066,104.9310436,0.65024287,0.72402126,3567,571,1693,756,NA,11.5031066,104.9310436,4
1_1_LT51260521988069_0_2,636,0,834,11.59833286,104.9175363,0.35555556,0.48953488,2562,878,1743,1218,NA,11.59833286,104.9175363,1
1_1_LT51260521988069_0_3,501,1,798,11.54489019,104.9390123,0.5053381,-0.28244275,423,756,220,139,NA,11.54489019,104.9390123,2
1_1_LT51260521988069_0_4,463,0,754,11.64526631,104.9078894,0.58778954,0.7220005,3667,592,2009,952,NA,11.64526631,104.9078894,5
1_1_LT51260521988101_0_0,972,0,1165,11.59833286,104.9175363,0.254679,0.3741567,2648,1206,2360,1573,NA,11.59833286,104.9175363,1
1_1_LT51260521988101_0_1,697,1,813,11.54489019,104.9390123,0.44640753,-0.05465743,614,685,288,235,NA,11.54489019,104.9390123,2
1_1_LT51260521988101_0_2,2993,4,3601,11.64526631,104.9078894,0.1597926,0.14695257,4921,3660,4711,3565,NA,11.64526631,104.9078894,5
1_1_LT51260521988101_0_3,858,0,1200,11.51802754,104.9263632,0.6224178,0.6760067,4516,873,2085,1051,NA,11.51802754,104.9263632,3
1_1_LT51260521988101_0_4,976,0,1235,11.5031066,104.9310436,0.56856185,0.4430769,3283,1267,1811,903,NA,11.5031066,104.9310436,4
1_1_LT51260521988117_0_0,549,0,768,11.51802754,104.9263632,0.5934132,0.62355095,2661,617,1308,679,NA,11.51802754,104.9263632,3
1_1_LT51260521988117_0_1,1378,4,1699,11.5031066,104.9310436,0.3405894,0.417242,4003,1646,2937,1969,NA,11.5031066,104.9310436,4
1_1_LT51260521988117_0_2,678,0,1002,11.59833286,104.9175363,0.24854907,0.40050948,2474,1059,2245,1489,NA,11.59833286,104.9175363,1
1_1_LT51260521988117_0_3,690,0,900,11.54489019,104.9390123,0.38532642,0.22284548,1199,762,741,532,NA,11.54489019,104.9390123,2
1_1_LT51260521988117_0_4,460,0,788,11.64526631,104.9078894,0.51844215,0.6661639,3314,664,2105,1051,NA,11.64526631,104.9078894,5
1_1_LT51260521988149_0_0,913,0,1238,11.51802754,104.9263632,0.49604917,0.49572086,3408,1149,1895,1148,NA,11.51802754,104.9263632,3
1_1_LT51260521988149_0_1,515,0,905,11.5031066,104.9310436,0.56672955,0.6599334,3739,766,2269,1034,NA,11.5031066,104.9310436,4
1_1_LT51260521988149_0_2,522,0,858,11.64526631,104.9078894,0.60207254,0.7299515,4638,724,2456,1152,NA,11.64526631,104.9078894,5
1_1_LT51260521988149_0_3,608,0,895,11.59833286,104.9175363,0.24907975,0.46180356,2545,937,2254,1530,NA,11.59833286,104.9175363,1
